iter	Passed	Remaining
0	48	48256
1	73	36567
2	100	33518
3	128	31950
4	185	36965
5	214	35492
6	244	34633
7	269	33458
8	296	32612
9	321	31808
10	345	31081
11	375	30890
12	399	30321
13	430	30288
14	455	29903
15	480	29538
16	505	29207
17	533	29084
18	560	28962
19	589	28903
20	619	28864
21	648	28807
22	676	28756
23	705	28684
24	734	28651
25	762	28558
26	793	28592
27	821	28528
28	850	28482
29	878	28399
30	906	28339
31	935	28292
32	960	28144
33	985	28011
34	1011	27899
35	1037	27784
36	1064	27709
37	1096	27762
38	1132	27899
39	1161	27885
40	1197	28017
41	1240	28290
42	1273	28338
43	1303	28317
44	1331	28267
45	1357	28161
46	1382	28030
47	1406	27899
48	1430	27771
49	1456	27681
50	1484	27622
51	1513	27586
52	1542	27553
53	1567	27459
54	1596	27428
55	1622	27351
56	1649	27293
57	1675	27206
58	1698	27084
59	1722	26993
60	1745	26863
61	1770	26792
62	1795	26703
63	1820	26619
64	1847	26570
65	1873	26517
66	1898	26438
67	1925	26393
68	1952	26344
69	1980	26316
70	2009	26296
71	2037	26254
72	2065	26223
73	2093	26196
74	2121	26166
75	2147	26110
76	2175	26079
77	2206	26085
78	2235	26058
79	2260	25990
80	2291	26001
81	2319	25971
82	2346	25926
83	2379	25950
84	2413	25982
85	2441	25947
86	2468	25902
87	2494	25854
88	2522	25815
89	2549	25773
90	2575	25727
91	2604	25704
92	2631	25663
93	2657	25609
94	2683	25565
95	2711	25529
96	2739	25501
97	2767	25469
98	2797	25457
99	2823	25407
100	2847	25347
101	2875	25314
102	2901	25265
103	2925	25208
104	2954	25179
105	2980	25139
106	3009	25120
107	3038	25092
108	3065	25060
109	3094	25034
110	3126	25043
111	3153	25002
112	3180	24966
113	3209	24942
114	3237	24911
115	3264	24879
116	3292	24847
117	3326	24861
118	3359	24869
119	3390	24863
120	3420	24847
121	3447	24808
122	3474	24772
123	3504	24754
124	3531	24720
125	3560	24695
126	3584	24638
127	3611	24603
128	3637	24559
129	3661	24503
130	3684	24443
131	3708	24388
132	3732	24330
133	3757	24284
134	3783	24243
135	3810	24205
136	3837	24173
137	3863	24130
138	3889	24090
139	3914	24048
140	3939	24000
141	3963	23951
142	3988	23903
143	4013	23856
144	4039	23820
145	4067	23790
146	4091	23743
147	4116	23700
148	4142	23661
149	4167	23615
150	4191	23566
151	4217	23531
152	4246	23506
153	4274	23484
154	4304	23467
155	4336	23461
156	4366	23443
157	4391	23403
158	4418	23369
159	4447	23349
160	4476	23327
161	4509	23325
162	4537	23302
163	4564	23266
164	4589	23224
165	4616	23192
166	4646	23175
167	4673	23146
168	4701	23120
169	4729	23090
170	4754	23050
171	4784	23034
172	4815	23019
173	4841	22981
174	4870	22958
175	4895	22920
176	4924	22896
177	4951	22864
178	4979	22838
179	5007	22813
180	5037	22793
181	5064	22761
182	5095	22748
183	5123	22720
184	5148	22682
185	5172	22638
186	5196	22592
187	5223	22559
188	5247	22516
189	5273	22480
190	5300	22451
191	5324	22407
192	5349	22369
193	5375	22333
194	5401	22299
195	5427	22262
196	5453	22230
197	5479	22196
198	5505	22161
199	5534	22139
200	5560	22104
201	5587	22074
202	5615	22047
203	5644	22022
204	5670	21990
205	5698	21964
206	5725	21933
207	5751	21901
208	5784	21890
209	5811	21860
210	5837	21828
211	5864	21798
212	5892	21771
213	5921	21747
214	5948	21717
215	5976	21691
216	6003	21664
217	6028	21626
218	6055	21594
219	6079	21555
220	6106	21523
221	6130	21484
222	6156	21450
223	6180	21412
224	6205	21375
225	6229	21334
226	6254	21298
227	6279	21263
228	6303	21223
229	6328	21187
230	6353	21150
231	6379	21118
232	6404	21083
233	6430	21049
234	6457	21020
235	6483	20987
236	6513	20968
237	6542	20946
238	6570	20921
239	6597	20893
240	6626	20870
241	6655	20846
242	6684	20822
243	6710	20791
244	6739	20767
245	6770	20752
246	6796	20719
247	6823	20691
248	6852	20667
249	6879	20637
250	6905	20605
251	6932	20577
252	6960	20552
253	6987	20523
254	7014	20492
255	7040	20462
256	7064	20424
257	7088	20387
258	7115	20357
259	7141	20324
260	7166	20290
261	7190	20254
262	7213	20215
263	7240	20185
264	7264	20149
265	7292	20123
266	7317	20089
267	7343	20058
268	7370	20028
269	7396	19998
270	7422	19967
271	7448	19935
272	7472	19898
273	7496	19862
274	7523	19833
275	7550	19805
276	7577	19777
277	7604	19750
278	7633	19727
279	7659	19695
280	7684	19662
281	7713	19638
282	7739	19607
283	7765	19578
284	7790	19543
285	7813	19505
286	7837	19470
287	7863	19439
288	7887	19404
289	7913	19375
290	7937	19339
291	7961	19304
292	7987	19272
293	8012	19239
294	8035	19204
295	8061	19173
296	8086	19141
297	8111	19107
298	8136	19074
299	8161	19043
300	8186	19011
301	8212	18980
302	8236	18947
303	8262	18916
304	8289	18889
305	8318	18865
306	8343	18834
307	8369	18804
308	8395	18773
309	8420	18742
310	8446	18712
311	8472	18683
312	8497	18650
313	8522	18618
314	8547	18588
315	8574	18559
316	8600	18530
317	8629	18508
318	8657	18481
319	8684	18455
320	8713	18431
321	8739	18400
322	8766	18374
323	8793	18347
324	8820	18318
325	8845	18288
326	8869	18255
327	8894	18223
328	8919	18192
329	8945	18162
330	8971	18131
331	8995	18099
332	9021	18069
333	9048	18041
334	9075	18015
335	9103	17990
336	9129	17961
337	9157	17934
338	9184	17907
339	9212	17882
340	9239	17855
341	9267	17830
342	9294	17803
343	9319	17771
344	9345	17742
345	9370	17712
346	9396	17683
347	9420	17650
348	9446	17620
349	9472	17591
350	9499	17564
351	9523	17532
352	9548	17501
353	9573	17470
354	9598	17439
355	9623	17409
356	9647	17375
357	9672	17346
358	9698	17316
359	9722	17283
360	9748	17255
361	9774	17226
362	9801	17199
363	9826	17169
364	9854	17143
365	9880	17115
366	9905	17084
367	9932	17057
368	9961	17034
369	9989	17009
370	10014	16978
371	10042	16953
372	10070	16927
373	10096	16899
374	10123	16871
